air,3
hair,4
fair,4
airy,4
pair,4
hairy,5
dairy,5
chair,5
flair,5
fairy,5
stair,5
dairy,5
fairy,5
flair,5
pairs,5
glair,5
stair,5
hairy,5
chair,5
paired,6
airway,6
midair,6
airman,6
hairdo,6
mohair,6
glaire,6
fairer,6
glairy,6
airbag,6
airmen,6
haired,6
unhair,6
stairs,6
eclair,6
impair,6
faired,6
airing,6
repair,6
unfair,6
airbag,6
impair,6
airbus,6
fairly,6
fairly,6
repair,6
unfair,6
airship,7
hairnet,7
airflow,7
airpark,7
airless,7
airwave,7
aircrew,7
hairpin,7
fairish,7
airlift,7
fairies,7
fairest,7
hairdos,7
hairier,7
glaired,7
glaires,7
airbags,7
upstair,7
pairing,7
airsick,7
airtime,7
airline,7
fairway,7
repairs,7
haircut,7
airline,7
airport,7
impairs,7
airfare,7
airport,7
prairie,7
upstairs,8
armchair,8
chairman,8
aircraft,8
staircase,9
hairbrush,9
pushchair,9
downstairs,10
fairground,10
wheelchair,10
impairment,10
clairvoyant,11
hairdresser,11
